isbn13,title,author,genre,salesPoint
9788954699075,도시와 그 불확실한 벽,"무라카미 하루키 (지은이), 홍은주 (옮긴이)",국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,37785
9791169851626,"운명을 보는 기술 - 역술가 박성준이 알려주는 사주, 관상, 풍수의 모든 것",박성준 (지은이),국내도서>자기계발>성공>성공학,36290
9791199242531,"1938 타이완 여행기 - 2026 부커상 인터내셔널 수상작, 2024 전미도서상 번역부문 수상, 2024 일본번역대상 수상, 2021 타이완 금정상 수상","양솽쯔 (지은이), 김이삭 (옮긴이)",국내도서>소설/시/희곡>세계의 소설>기타 국가 소설,36138
9791124038192,나의 완벽한 장례식,조현선 (지은이),국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설,35939
9791194413394,궤도 - 2024 부커상 수상작,"서맨사 하비 (지은이), 송예슬 (옮긴이)",국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,35702
9788937462146,면도날,"서머싯 몸 (지은이), 안진환 (옮긴이)",국내도서>소설/시/희곡>영미소설,35305
9791190669030,삼국지 원전 완역판 세트 - 전10권,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이)",국내도서>소설/시/희곡>역사소설>외국 역사소설,35260
9791193904152,행동은 불안을 이긴다 - 의지박약과 만성적 미루기에서 벗어나는 아주 작은 행동 설계,"롭 다이얼 (지은이), 박영준 (옮긴이)",국내도서>자기계발>성공>성공학,35167
9788960909878,해파리 만개,"김초엽 (지은이), 박지숙 (그림)",국내도서>소설/시/희곡>과학소설(SF)>한국 과학소설,34530
9791193078709,아무도 오지 않는 곳에서,천선란 (지은이),국내도서>소설/시/희곡>과학소설(SF)>한국 과학소설,33932
9791199624993,김미경의 플러스 휴먼 - 보통 인간의 한계를 깨부수는 AI 진화 전략,김미경 (지은이),국내도서>자기계발>성공>성공학,33810
9788965138310,"유럽 도시 기행 3 - 마드리드, 바르셀로나, 리스본, 뽀르투 편",유시민 (지은이),국내도서>인문학>교양 인문학,33230
9791193262658,"다정한 사람이 이긴다 - 사람을 남기는 말, 관계를 바꾸는 태도",이해인 (지은이),국내도서>에세이>한국에세이,33157
9791130674643,눈과 돌멩이 - 2026년 제49회 이상문학상 작품집,"위수정, 김혜진, 성혜령, 이민진, 정이현, 함윤이 (지은이)",국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,32595
9791130698199,맡겨진 소녀,"클레어 키건 (지은이), 허진 (옮긴이)",국내도서>소설/시/희곡>세계의 소설>아일랜드소설,32229
9788925573229,저소비 생활,"가제노타미 (지은이), 정지영 (옮긴이)",국내도서>자기계발>성공>성공학,32076
9791130681009,떠난 것은 돌아오지 않는다,"줄리언 반스 (지은이), 정영목 (옮긴이)",국내도서>소설/시/희곡>영미소설,31555
9788960909960,당신의 독자가 될게요 - 혼란을 끌어안는 쓰기에 대하여,정세랑 (지은이),국내도서>에세이>한국에세이,31390
9791168343764,흉담,전건우 (지은이),국내도서>소설/시/희곡>호러.공포소설>한국 호러.공포소설,31090
9791141603380,상상 속의 삶,"앤드루 포터 (지은이), 민은영 (옮긴이)",국내도서>소설/시/희곡>영미소설,31090
9791193939666,독서의 기술 - 책은 어떻게 삶의 무기가 되는가,고명환 (지은이),국내도서>자기계발>성공>성공학,29890
9791193939314,고전이 답했다 마땅히 가져야 할 부에 대하여,고명환 (지은이),국내도서>자기계발>성공>성공학,29738
9791199040311,살아갈 날들을 위한 괴테의 시,김종원 (지은이),국내도서>자기계발>성공>성공학,29423
9791192097978,지적 대화를 위한 넓고 얕은 지식 무한 - 지식과 지혜를 실천으로 이끄는 마음 여행서,채사장 (지은이),국내도서>인문학>교양 인문학,28765
9791171175864,행복의 기원 - 인간의 행복은 어디서 오는가,서은국 (지은이),국내도서>인문학>심리학/정신분석학>교양 심리학,28580
